Team,Immortals,116
Team,"PSG Talon",95
Team,"S2V Esports Academy",92
Team,"Umbra Divinus Gaming",102
Team,"FURIA Academy",92
Team,"Kaos Latin Gamers",92
Team,"Nerf Galeforce",94
Team,"Hong Kong Attitude",91
Team,"Team Singularity",91
Team,"G2 Esports",92
Team,"STOPWATCH eSports",90
Team,Cloud9,95
Team,"Sengoku Gaming Academy",93
Team,"Golden Guardians Academy",94
Team,"aNc Outplayed",104
Team,"WAVE Esports",94
Team,TSM,92
Team,"S2V Esports Academy",92
Team,"Cyberground Gaming",95
Team,GameWard,91
Team,"Vorax Liberty Academy",93
Team,"Kawaii Kiwis",91
Team,"Machi Esports",94
Team,"Boavista FC",93
Team,"Evil Geniuses Academy",104
Team,Immortals,91
Team,"PSG Talon",98
Team,"S2V Esports Academy",90
Team,"Umbra Divinus Gaming",92
Team,"FURIA Academy",95
Team,"Kaos Latin Gamers",95
Team,"Nerf Galeforce",90
Team,"Hong Kong Attitude",92
Team,"Team Singularity",102
Team,"G2 Esports",91
Team,"STOPWATCH eSports",117
Team,Cloud9,93
Team,"Sengoku Gaming Academy",98
Team,"Golden Guardians Academy",90
Team,"aNc Outplayed",92
Team,"WAVE Esports",94
Team,TSM,92
Team,"S2V Esports Academy",92
Team,"Cyberground Gaming",93
Team,GameWard,93
Team,"Vorax Liberty Academy",92
Team,"Kawaii Kiwis",94
Team,"Machi Esports",94
Team,"Boavista FC",97
Team,"Evil Geniuses Academy",94
Team,Immortals,92
Team,"PSG Talon",94
Team,"S2V Esports Academy",95
Team,"Umbra Divinus Gaming",91
Team,"FURIA Academy",94
Team,"Kaos Latin Gamers",90
Team,"Nerf Galeforce",91
Team,"Hong Kong Attitude",91
Team,"Team Singularity",92
Team,"G2 Esports",95
Team,"STOPWATCH eSports",119
Team,Cloud9,91
Team,"Sengoku Gaming Academy",93
Team,"Golden Guardians Academy",113
Team,"aNc Outplayed",94
Team,"WAVE Esports",92
Team,TSM,93
Team,"S2V Esports Academy",94
Team,"Cyberground Gaming",94
Team,GameWard,96
Team,"Vorax Liberty Academy",101
Team,"Kawaii Kiwis",100
Team,"Machi Esports",97
Team,"Boavista FC",116
Team,"Evil Geniuses Academy",95
Team,Immortals,91
Team,"PSG Talon",93
Team,"S2V Esports Academy",93
Team,"Umbra Divinus Gaming",101
Team,"FURIA Academy",97
Team,"Kaos Latin Gamers",122
Team,"Nerf Galeforce",91
Team,"Hong Kong Attitude",119
Team,"Team Singularity",102
Team,"G2 Esports",94
Team,"STOPWATCH eSports",98
Team,Cloud9,97
Team,"Sengoku Gaming Academy",96
Team,"Golden Guardians Academy",123
Team,"aNc Outplayed",93
Team,"WAVE Esports",102
Team,TSM,94
Team,"S2V Esports Academy",93
Team,"Cyberground Gaming",92
Team,GameWard,91
Team,"Vorax Liberty Academy",92
Team,"Kawaii Kiwis",91
Team,"Machi Esports",92
Team,"Boavista FC",90
Team,"Evil Geniuses Academy",92
Team,Immortals,91
Team,"PSG Talon",93
Team,"S2V Esports Academy",91
Team,"Umbra Divinus Gaming",91
Team,"FURIA Academy",91
Team,"Kaos Latin Gamers",114
Team,"Nerf Galeforce",110
Team,"Hong Kong Attitude",91
Team,"Team Singularity",92
Team,"G2 Esports",91
Team,"STOPWATCH eSports",93
Team,Cloud9,91
Team,"Sengoku Gaming Academy",95
Team,"Golden Guardians Academy",91
Team,"aNc Outplayed",93
Team,"WAVE Esports",92
Team,TSM,116
Team,"S2V Esports Academy",93
Team,"Cyberground Gaming",108
Team,GameWard,91
Team,"Vorax Liberty Academy",91
Team,"Kawaii Kiwis",91
Team,"Machi Esports",102
Team,"Boavista FC",91
Team,"Evil Geniuses Academy",91
Team,Immortals,116
Team,"PSG Talon",106
Team,"S2V Esports Academy",91
Team,"Umbra Divinus Gaming",96
Team,"FURIA Academy",91
Team,"Kaos Latin Gamers",98
Team,"Nerf Galeforce",91
Team,"Hong Kong Attitude",114
Team,"Team Singularity",93
Team,"G2 Esports",93
Team,"STOPWATCH eSports",110
Team,Cloud9,91
Team,"Sengoku Gaming Academy",94
Team,"Golden Guardians Academy",94
Team,"aNc Outplayed",91
Team,"WAVE Esports",95
Team,TSM,92
Team,"S2V Esports Academy",95
Team,"Cyberground Gaming",94
Team,GameWard,96
Team,"Vorax Liberty Academy",93
Team,"Kawaii Kiwis",93
Team,"Machi Esports",92
Team,"Boavista FC",91
Team,"Evil Geniuses Academy",95
Team,Immortals,100
Team,"PSG Talon",98
Team,"S2V Esports Academy",101
Team,"Umbra Divinus Gaming",93
Team,"FURIA Academy",98
Team,"Kaos Latin Gamers",94
Team,"Nerf Galeforce",101
Team,"Hong Kong Attitude",93
Team,"Team Singularity",97
Team,"G2 Esports",99
Team,"STOPWATCH eSports",96
Team,Cloud9,101
Team,"Sengoku Gaming Academy",97
Team,"Golden Guardians Academy",99
Team,"aNc Outplayed",98
Team,"WAVE Esports",101
Team,TSM,99
Team,"S2V Esports Academy",97
Team,"Cyberground Gaming",95
Team,GameWard,101
Team,"Vorax Liberty Academy",110
Team,"Kawaii Kiwis",93
Team,"Machi Esports",97
Team,"Boavista FC",92
Team,"Evil Geniuses Academy",101
Team,Immortals,94
Team,"PSG Talon",111
Team,"S2V Esports Academy",97
Team,"Umbra Divinus Gaming",96
Team,"FURIA Academy",96
Team,"Kaos Latin Gamers",93
Team,"Nerf Galeforce",98
Team,"Hong Kong Attitude",97
Team,"Team Singularity",98
Team,"G2 Esports",95
Team,"STOPWATCH eSports",90
Team,Cloud9,96
Team,"Sengoku Gaming Academy",93
Team,"Golden Guardians Academy",95
Team,"aNc Outplayed",91
Team,"WAVE Esports",94
Team,TSM,90
Team,"S2V Esports Academy",99
Team,"Cyberground Gaming",91
Team,GameWard,107
Team,"Vorax Liberty Academy",96
Team,"Kawaii Kiwis",91
Team,"Machi Esports",92
Team,"Boavista FC",91
Team,"Evil Geniuses Academy",95
Team,Immortals,92
Team,"PSG Talon",96
Team,"S2V Esports Academy",96
Team,"Umbra Divinus Gaming",91
Team,"FURIA Academy",90
Team,"Kaos Latin Gamers",91
Team,"Nerf Galeforce",95
Team,"Hong Kong Attitude",91
Team,"Team Singularity",92
Team,"G2 Esports",92
Team,"STOPWATCH eSports",95
Team,Cloud9,93
Team,"Sengoku Gaming Academy",114
Team,"Golden Guardians Academy",92
Team,"aNc Outplayed",95
Team,"WAVE Esports",93
Team,TSM,92
Team,"S2V Esports Academy",93
Team,"Cyberground Gaming",94
Team,GameWard,95
Team,"Vorax Liberty Academy",95
Team,"Kawaii Kiwis",91
Team,"Machi Esports",91
Team,"Boavista FC",116
Team,"Evil Geniuses Academy",97
Team,Immortals,92
Team,"PSG Talon",94
Team,"S2V Esports Academy",94
Team,"Umbra Divinus Gaming",93
Team,"FURIA Academy",95
Team,"Kaos Latin Gamers",96
Team,"Nerf Galeforce",92
Team,"Hong Kong Attitude",90
Team,"Team Singularity",93
Team,"G2 Esports",94
Team,"STOPWATCH eSports",91
Team,Cloud9,91
Team,"Sengoku Gaming Academy",92
Team,"Golden Guardians Academy",98
Team,"aNc Outplayed",91
Team,"WAVE Esports",91
Team,TSM,92
Team,"S2V Esports Academy",94
Team,"Cyberground Gaming",108
Team,GameWard,95
Team,"Vorax Liberty Academy",93
Team,"Kawaii Kiwis",100
Team,"Machi Esports",92
Team,"Boavista FC",92
Team,"Evil Geniuses Academy",97
Team,Immortals,95
Team,"PSG Talon",92
Team,"S2V Esports Academy",91
Team,"Umbra Divinus Gaming",93
Team,"FURIA Academy",94
Team,"Kaos Latin Gamers",92
Team,"Nerf Galeforce",113
Team,"Hong Kong Attitude",93
Team,"Team Singularity",97
Team,"G2 Esports",93
Team,"STOPWATCH eSports",96
Team,Cloud9,107
Team,"Sengoku Gaming Academy",92
Team,"Golden Guardians Academy",97
Team,"aNc Outplayed",92
Team,"WAVE Esports",91
Team,TSM,93
Team,"S2V Esports Academy",90
Team,"Cyberground Gaming",95
